bgyear,bgcitizen,bgmajor,bgmultimajor,bggender,gender,age,bgethnicity,race,bgmap2,pk1,pkpic2a,pk2,pkpic4a,pk3,pkhousemajority,pk4,pksenatemajority,pk5,pkoverride,pk6,pkpic5a,pk7,pknotnato,pk8,Q111,pk9,Q109,pk10,bgpk,gen,gen1,Q83,gen2,Q84,psc,Q85,psmm,Q86,undrgd,Q87,faculty,Q88,family,Q89,genpop,Q90,reps,Q91,dems,perception,p2,Q92_1,Q93_1,Q94_1,Q95_1,Q96_1,Q97_1,Q98_1,Q99_1,Q100_1,Q101_1,eff,ineff,exeff,eligible,midterm,vote,,volunteer,,sns,,button,,letter,,march,,money,,rally,,meeting,,part,prospect,Q114,,Q115_1,Q116,,Q117_1,Q118,,Q119_1,Q120,,Q121_1,Q122,trade,Q123_1,retro,real,aggpk,conf
Sophomore,Yes,Political Science,,Male,1,19,Hispanic or Latino,0,Trump won in the election,1,Kirsten Gillibrand,0,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,PR systems tend to have a greater number of districts than SMD systems.,0,7,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.678571429,0.694444444,6,6,5,5,6,6,5,4,3,7,5.3,5.6,4.75,Yes,Yes,Yes,1,No,0,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,0.222222222,1,Mexico,1,6,Theresa May,1,5,each voter has a chance to rank the candidates in order of preference,1,5,5.0-6.5%,0,3,China,1,4,3,4,14,4.6
Sophomore,Yes,Political Science,,Female,0,19,Hispanic or Latino,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"very low, in the bottom 25th percentile",0.25,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,0.642857143,0.555555556,7,7,5,8,7,7,5,2,5,7,6,6.8,4.75,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.888888889,2,Mexico,1,4,Theresa May,1,8,each voter votes for parties instead of for individual candidates,0,0,lower than 5.0%,1,3,China,1,4,1,4,21,3.8
Sophomore,Yes,Political Science,,Male,1,19,Hispanic or Latino,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Democratic Party,0,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,8,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,1,1,10,10,3,10,10,1,1,1,1,1,4.8,8.6,1,Yes,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,4,Mexico,1,7,Jeremy Corbyn,0,6,each voter has a chance to rank the candidates in order of preference,1,9,lower than 5.0%,1,10,China,1,7,4,4,19,7.8
Sophomore,Yes,"Humanities (e.g., English, History, Philosophy)",,Male,1,19,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,10,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.821428571,0.861111111,8,8,2,8,8,8,6,8,6,6,6.8,6.8,6.5,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,0.333333333,4,Mexico,1,6,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,6,lower than 5.0%,1,7,China,1,7,4,5,23,7.2
Senior,Yes,Other,,Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,8,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.714285714,0.722222222,7,8,3,6,6,8,2,5,8,7,6,6,5.5,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.888888889,3,Mexico,1,4,Gordon Brown,0,0,each voter has a chance to rank the candidates in order of preference,1,0,lower than 5.0%,1,6,China,1,6,2,4,20,3.2
Sophomore,Yes,Political Science,,Female,0,19,Caucasian/White,1,Had the highest sales tax rates,0,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.75,0.75,9,9,4,10,9,10,8,7,9,10,8.5,8.2,8.5,Yes,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,4,Other Latin America,0,4,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,6,5.0-6.5%,0,3,China,1,8,3,3,19,6.2
Sophomore,Yes,Political Science,,Female,0,19,Hispanic or Latino,0,Elected a Democrat to the U.S. Senate,0,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and Senate,0,Argentina,0,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,6,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"very low, in the bottom 25th percentile",0.25,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"very low, in the bottom 25th percentile",0.25,"low, in the bottom 26-50th percentile",0.5,0.5,0.472222222,4,2,5,5,3,5,4,5,5,3,4.1,3.8,4.25,Yes,No,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,0,2,Mexico,1,9,Jeremy Corbyn,0,0,each voter has a chance to rank the candidates in order of preference,1,6,lower than 5.0%,1,2,China,1,7,3,4,15,4.8
Junior,Yes,Education,,Female,0,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,8,Far above average,1,"very high, in the top 76th percent or higher",,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.875,0.90625,8,7,1,10,10,8,4,6,8,8,7,7.2,6.5,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,0.777777778,4,Europe/Canada,0,6,Tony Blair,0,5,"each voter has as many votes as there are choices, and can distribute those votes as desired",0,9,5.0-6.5%,0,3,China,1,9,3,1,17,6.4
Senior,Yes,Political Science,,Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Democratic Party,0,Democratic Party,0,Two thirds of the House and Senate,1,Chile,0,Russia,1,Brett Kavanaugh,1,I do not know.,0,6,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,0.821428571,0.833333333,8,8,1,6,7,9,7,8,10,7,7.1,6,8,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,Yes,1,0.555555556,4,Mexico,1,7,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,8,China,1,10,5,5,20,9
Sophomore,Yes,Political Science,,Male,1,19,"Asian,Caucasian/White",0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,9,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.857142857,0.833333333,10,7,3,7,8,9,6,5,10,9,7.4,7,7.5,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0.777777778,4,Mexico,1,6,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,8,5.0-6.5%,0,7,China,1,10,3,4,22,8.2
Senior,Yes,"Social Sciences (e.g., Psychology, Sociology, Anthropology)",,Female,0,21,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Denmark,0,Russia,1,Brett Kavanaugh,1,I do not know.,0,8,Somewhat below average,0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"very low, in the bottom 25th percentile",0.25,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,0.535714286,0.555555556,5,5,4,5,4,6,3,4,6,5,4.7,4.6,4.5,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,No,0,No,0,No,0,No,0,0.444444444,3,South/East Asia,0,4,Jeremy Corbyn,0,3,each voter has a chance to rank the candidates in order of preference,1,8,5.0-6.5%,0,4,China,1,4,3,2,12,4.6
Sophomore,Yes,Political Science,,Male,1,19,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,9,Far above average,1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,0.928571429,0.944444444,10,10,1,10,10,10,6,2,6,7,7.2,8.2,5.25,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0.888888889,5,Mexico,1,2,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,10,lower than 5.0%,1,10,China,1,2,4,5,23,6.8
Junior,Yes,Business,,Female,0,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Secretary of State,0,Republican Party,1,Democratic Party,0,Two thirds of the House and Senate,1,Chile,0,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,6,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"low, in the bottom 26-50th percentile",0.5,0.857142857,0.833333333,7,7,3,7,8,10,3,8,7,10,7,6.4,7,Yes,Yes,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,0.222222222,3,Other Latin America,0,8,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,6,lower than 5.0%,1,9,China,1,9,4,4,13,8.4
Sophomore,Yes,I have more than one major,"Political Science,Social Sciences (e.g., Psychology, Sociology, Anthropology)",Female,0,19,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,10,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.821428571,0.805555556,8,7,6,6,7,7,4,6,9,10,7,6.8,7.25,Yes,Yes,Yes,1,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,0.222222222,3,South/East Asia,0,,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,4,5.0-6.5%,0,1,China,1,1,2,3,19,4
Sophomore,Yes,Business,,Male,1,19,"Asian,Caucasian/White",0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,9,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,0.857142857,0.861111111,8,8,2,6,8,5,4,1,8,3,5.3,6.4,4,Yes,Yes,Yes,1,No,0,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,0.222222222,4,Europe/Canada,0,4,Theresa May,1,3,each voter has a chance to rank the candidates in order of preference,1,4,lower than 5.0%,1,9,China,1,9,3,4,21,5.8
Junior,Yes,"Social Sciences (e.g., Psychology, Sociology, Anthropology)",,Female,0,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Secretary of State,0,Republican Party,1,Republican Party,1,Three quarters of the House and Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,8,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.678571429,0.694444444,4,8,5,4,7,3,3,3,4,4,4.5,5.6,3.5,Yes,No,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,0.111111111,3,Europe/Canada,0,2,Gordon Brown,0,3,"each voter has as many votes as there are choices, and can distribute those votes as desired",0,5,5.0-6.5%,0,3,Mexico,0,2,1,0,13,3
Junior,Yes,Political Science,,Female,0,22,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Denmark,0,Russia,1,Brett Kavanaugh,1,I do not know.,0,8,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.785714286,0.777777778,7,7,2,7,7,4,3,4,6,7,5.4,6,5,Yes,No,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,No,0,0.111111111,4,Europe/Canada,0,3,Theresa May,1,5,each voter has a chance to rank the candidates in order of preference,1,7,lower than 5.0%,1,3,China,1,2,2,4,18,4
Sophomore,Yes,"Humanities (e.g., English, History, Philosophy)",,Female,0,19,Hispanic or Latino,0,Passed gun control ballot measures,0,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,8,Far above average,1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.75,0.75,9,8,2,9,8,8,2,3,7,7,6.3,7.2,4.75,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,0.888888889,5,Europe/Canada,0,10,Theresa May,1,0,each voter has a chance to rank the candidates in order of preference,1,0,lower than 5.0%,1,0,China,1,5,1,4,18,3
Junior,Yes,I have more than one major,"Political Science,Social Sciences (e.g., Psychology, Sociology, Anthropology)",Female,0,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Democratic Party,0,Three quarters of the House and two thirds of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,SMD systems tend to have greater magnitude than PR systems do at the national level.,0,7,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"very low, in the bottom 25th percentile",0.25,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.642857143,0.666666667,6,7,2,6,5,8,5,5,4,7,5.5,5.2,5.25,Yes,Yes,Yes,1,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,No,0,0.222222222,3,Mexico,1,4,Tony Blair,0,4,each voter has a chance to rank the candidates in order of preference,1,2,8.1% or higher,0,3,China,1,3,3,3,16,3.2
Sophomore,No,I have more than one major,"Political Science,Humanities (e.g., English, History, Philosophy)",Female,0,19,Asian,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Democratic Party,0,Democratic Party,0,Two thirds of the House and Senate,1,Chile,0,France,0,Brett Kavanaugh,1,I do not know.,0,5,Somewhat above average,0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,0.571428571,0.555555556,5,6,7,5,5,5,6,7,4,5,5.5,5.6,5.5,No,,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,Yes,1,0.111111111,2,Mexico,1,7,Theresa May,1,2,each voter votes for parties instead of for individual candidates,0,5,5.0-6.5%,0,2,China,1,6,1,3,12,4.4
Sophomore,Yes,"Social Sciences (e.g., Psychology, Sociology, Anthropology)",,Male,1,20,Caucasian/White,1,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Germany,1,Russia,1,Brett Kavanaugh,1,I do not know.,0,9,Somewhat above average,0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.928571429,0.888888889,8,8,4,7,9,5,6,3,5,4,5.9,7.2,4.5,Yes,Yes,Yes,1,No,0,Yes,1,Yes,1,Yes,1,No,0,No,0,Yes,1,Yes,1,0.666666667,5,Mexico,1,7,Theresa May,1,9,each voter has a chance to rank the candidates in order of preference,1,6,lower than 5.0%,1,8,China,1,9,4,5,22,7.8
Senior,Yes,I have more than one major,"Political Science,Social Sciences (e.g., Psychology, Sociology, Anthropology)",Female,0,21,Hispanic or Latino,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Three quarters of the House and two thirds of the Senate,0,Argentina,0,France,0,Brett Kavanaugh,1,Voters in a PR district elect more representatives than voters in an SMD district.,1,7,Far above average,1,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.75,0.75,8,9,5,10,7,9,0,0,5,0,5.3,7.8,1.25,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,2,Europe/Canada,0,1,Gordon Brown,0,1,each voter has a chance to rank the candidates in order of preference,1,1,8.1% or higher,0,0,Canada,0,3,1,1,11,1.2
Junior,Yes,Political Science,,Male,1,20,Asian,0,Trump won in the election,1,Barbara Boxer,0,Speaker of the House,1,Republican Party,1,Republican Party,1,Majority of the House and Senate,0,Germany,1,Canada,0,Brett Kavanaugh,1,I do not know.,0,6,Somewhat above average,0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.785714286,0.777777778,6,6,6,8,6,8,8,7,7,7,6.9,6.4,7.25,Yes,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,Yes,1,0.888888889,3,South/East Asia,0,2,Theresa May,1,7,each voter votes for parties instead of for individual candidates,0,2,5.0-6.5%,0,3,China,1,2,2,2,16,3.2
Sophomore,Yes,Other,,Male,1,19,Hispanic or Latino,0,Trump won in the election,1,Elizabeth Warren,1,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Russia,1,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,8,Somewhat above average,0.75,"very low, in the bottom 25th percentile",0.25,"high, among the top 51-75th percentile",0.75,"low, in the bottom 26-50th percentile",0.5,"very low, in the bottom 25th percentile",0.25,"very high, in the top 76th percent or higher",1,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"very low, in the bottom 25th percentile",0.25,"low, in the bottom 26-50th percentile",0.5,0.535714286,0.5,4,3,4,4,4,4,4,4,4,4,3.9,3.8,4,Yes,Yes,Yes,1,Yes,1,No,0,No,0,No,0,Yes,1,Yes,1,Yes,1,Yes,1,0.666666667,2,Europe/Canada,0,4,Theresa May,1,4,each voter has a chance to rank the candidates in order of preference,1,5,5.0-6.5%,0,5,Canada,0,5,1,2,17,4.6
Sophomore,Yes,Political Science,,Female,0,19,Asian,0,Trump won in the election,1,Barbara Boxer,0,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and Senate,1,Denmark,0,Poland,0,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,6,Somewhat below average,0.75,"very low, in the bottom 25th percentile",0.25,"low, in the bottom 26-50th percentile",0.5,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"very low, in the bottom 25th percentile",0.25,"high, among the top 51-75th percentile",0.75,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,"very low, in the bottom 25th percentile",0.25,0.464285714,0.416666667,2,6,5,4,5,7,1,5,6,7,4.8,4.4,4.75,Yes,Yes,No,0,No,0,No,0,No,0,Yes,1,No,0,No,0,No,0,No,0,0.111111111,2,Mexico,1,6,Jeremy Corbyn,0,0,each voter has a chance to rank the candidates in order of preference,1,5,5.0-6.5%,0,2,China,1,6,1,3,14,3.8
Senior,Yes,Political Science,,Female,0,20,African American/Black,0,Passed gun control ballot measures,0,Kirsten Gillibrand,0,Speaker of the House,1,Republican Party,1,Republican Party,1,Two thirds of the House and three quarters of the Senate,0,Germany,1,Canada,0,Brett Kavanaugh,1,"PR districts elect their district representatives directly, whereas SMD districts elect their representatives indirectly.",0,5,Far above average,1,"very high, in the top 76th percent or higher",1,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"very high, in the top 76th percent or higher",1,"low, in the bottom 26-50th percentile",0.5,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,"high, among the top 51-75th percentile",0.75,0.785714286,0.777777778,9,9,6,8,8,10,5,7,8,6,7.6,8,6.5,Yes,Yes,Yes,1,No,0,No,0,Yes,1,Yes,1,No,0,No,0,No,0,Yes,1,0.444444444,4,Other Latin America,0,5,Theresa May,1,10,each voter has a chance to rank the candidates in order of preference,1,8,lower than 5.0%,1,9,China,1,7,4,4,13,7.8
