,psraid,sample,int_date,lang,state,cregion,density,usr,pew1,pk1,pew2,pk2,pew3,pk3,pew4,pk4,pew5,pk5,pew6,pk6,pew8,pk8,pew9,pk9,pew10,pk10,pew11,pk11,pkscore,ql1,ql1a,qc1,hh1,employ,marital,par,sex,age,recage,educ2,receduc,hisp,race,racethn,inc,reg,party,partyln,weight
296,101747,Landline,62417,English,Ohio,Midwest,3,Urban,Scott Pruitt,0,[VOL. DO NOT READ] Don't know,0,the head of the EPA,0,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Contaminated water,0,Nancy Pelosi,0,12%,0,2,"No, do not",No,NA,1,Not employed,Widowed,No,Female,82,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,1.523809524
297,101751,Landline,62417,English,Georgia,South,3,Suburban,Rex Tillerson,1,Emmanuel Macron,1,the head of the EPA,0,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,9,"Yes, have cell phone",NA,NA,3,Employed full-time,Married,No,Male,55,55-64,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$150,000 or over",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,2.285714286
298,101761,Landline,62517,English,Ohio,Midwest,Highest,Urban,Mitt Romney,0,Justin Trudeau,0,a Senator,0,Sally Yates,0,Lead,1,The Lincoln Group,0,Greece,0,Mosquitoes,1,Nancy Pelosi,0,17%,0,2,"Yes, have cell phone",NA,NA,1,Not employed,Never been married,No,Male,83,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,Black or African-American,AA~Hisp,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,2.047619048
299,101763,Landline,62517,English,South Carolina,South,2,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Refused,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,0,"No, do not",No,NA,1,Not employed,Widowed,No,Female,96,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1.571428571
300,101774,Landline,62417,English,Ohio,Midwest,2,Rural,Rex Tillerson,1,Theresa May,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Blue Dogs,0,The United Kingdom,1,Contaminated water,0,Paul Ryan,1,4%,1,7,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Male,82,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1
301,101787,Landline,62417,English,North Carolina,South,3,Suburban,Rex Tillerson,1,Justin Trudeau,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Lincoln Group,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,8,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Male,87,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1.428571429
302,101788,Landline,62417,English,Florida,South,4,Urban,Mitt Romney,0,Justin Trudeau,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,6,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Female,59,55-64,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,Black or African-American,AA~Hisp,"$75,000 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,5.619047619
303,101793,Landline,62517,English,Pennsylvania,Northeast,2,Suburban,Rex Tillerson,1,Justin Trudeau,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,76,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,3.857142857
304,101806,Landline,62417,English,Missouri,Midwest,3,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,Germany,0,Mosquitoes,1,Paul Ryan,1,7%,0,8,"No, do not",No,NA,1,Not employed,Divorced,No,Male,50,45-54,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,Mixed race,Other~Hisp,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,2.428571429
305,101807,Landline,62417,English,Michigan,Midwest,Lowest,Rural,Rex Tillerson,1,Malcolm Turnbull,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,84,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,3.952380952
306,101808,Landline,62417,English,Wisconsin,Midwest,3,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,75,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.380952381
307,101809,Landline,62417,English,Missouri,Midwest,2,Suburban,John Kerry,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,James Comey,0,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,4,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,80,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Other/Don't know/Refused (VOL.),1
308,101813,Landline,62417,English,Minnesota,Midwest,Lowest,Rural,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,a Senator,0,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,Hungary,0,Mosquitoes,1,Nancy Pelosi,0,17%,0,3,"Yes, have cell phone",NA,NA,4,Employed full-time,Married,Yes,Female,30,25-34,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$20,000 to under $30,000",Are you NOT registered to vote at your current address,Independent,Democratic,5.571428571
309,101817,Landline,62417,English,North Carolina,South,3,Urban,Rex Tillerson,1,Justin Trudeau,0,a Supreme Court justice,1,Robert Mueller,1,Arsenic,0,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,7%,0,6,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,71,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000","Are you PROBABLY registered, but there is a chance your registration has lapsed",Democrat,NA,2.19047619
310,101823,Landline,62417,English,Georgia,South,4,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,17%,0,9,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,69,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$150,000 or over",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Other/Don't know/Refused (VOL.),1.571428571
311,101824,Landline,62417,English,West Virginia,South,Lowest,Rural,Rex Tillerson,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Sean Spicer,0,Arsenic,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,3,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,62,55-64,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,3.380952381
312,101832,Landline,62517,English,Wisconsin,Midwest,Lowest,Rural,[VOL. DO NOT READ] Don't know,0,Theresa May,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Asbestos,0,The Freedom Caucus,1,Germany,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,4%,1,3,"No, do not",No,NA,1,Not employed,Widowed,No,Female,87,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$10,000 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.80952381
313,101837,Landline,62417,English,Florida,South,2,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,[VOL. DO NOT READ] Don't know,0,Paul Ryan,1,17%,0,5,"Yes, have cell phone",NA,NA,1,Not employed,Divorced,No,Female,88,65+,"Some college, no degree (includes some community college)",Some coll/Assoc degree,No,White,White~Hisp,"$10,000 to under $20,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1
314,101841,Landline,62417,English,Florida,South,4,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,2,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Female,53,45-54,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$10,000 to under $20,000",Are you NOT registered to vote at your current address,No preference (VOL.),Other/Don't know/Refused (VOL.),6.238095238
315,101851,Landline,62517,English,New York,Northeast,4,Suburban,Rex Tillerson,1,Malcolm Turnbull,0,a Supreme Court justice,1,James Comey,0,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,67,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,2.047619048
316,101856,Landline,62417,English,Wisconsin,Midwest,3,Suburban,John Kerry,0,Theresa May,0,[VOL. DO NOT READ] Don't know,0,James Comey,0,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,4,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,80,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,No preference (VOL.),Other/Don't know/Refused (VOL.),2.666666667
317,101861,Landline,62517,English,Indiana,Midwest,3,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Paul Ryan,1,7%,0,2,"No, do not",No,NA,1,Not employed,Widowed,No,Female,84,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$10,000 to under $20,000",Are you NOT registered to vote at your current address,Independent,Other/Don't know/Refused (VOL.),2.428571429
318,101874,Landline,62517,English,Tennessee,South,Lowest,Rural,Mitt Romney,0,Emmanuel Macron,1,the Solicitor General,0,Robert Mueller,1,Arsenic,0,The Blue Dogs,0,Hungary,0,Mosquitoes,1,Paul Ryan,1,17%,0,4,"No, do not","Yes, someone in household has cell phone",NA,3,Not employed,Married,No,Male,70,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),HS Grad or less,No,White,White~Hisp,"$10,000 to under $20,000",Don't know/Refused (VOL.),Independent,Democratic,4.285714286
319,101877,Landline,62517,English,Mississippi,South,2,Suburban,Mitt Romney,0,Malcolm Turnbull,0,[VOL. DO NOT READ] Don't know,0,James Comey,0,Lead,1,The Freedom Caucus,1,Germany,0,Mosquitoes,1,Mitch McConnell,0,[VOL. DO NOT READ] Don't know,0,3,"No, do not",No,NA,2,Not employed,Never been married,No,Female,52,45-54,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),HS Grad or less,No,Black or African-American,AA~Hisp,Don't know/Refused (VOL.),Are you NOT registered to vote at your current address,Independent,Democratic,9.047619048
320,101893,Landline,62417,English,Iowa,Midwest,Lowest,Rural,Rex Tillerson,1,Theresa May,0,a Senator,0,Robert Mueller,1,Lead,1,The Tuesday Group,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,7,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Female,60,55-64,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,4.285714286
321,101902,Landline,62417,English,Michigan,Midwest,2,Suburban,John Kerry,0,[VOL. DO NOT READ] Don't know,0,a Senator,0,[VOL. DO NOT READ] Don't know,0,Lead,1,The Freedom Caucus,1,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,17%,0,3,"Yes, have cell phone",NA,NA,2,Employed full-time,Living with a partner,No,Female,53,45-54,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,3.761904762
322,101909,Landline,62417,English,Colorado,West,Lowest,Rural,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,the head of the EPA,0,[VOL. DO NOT READ] Don't know,0,Mold,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,17%,0,2,"No, do not",No,NA,1,Not employed,Divorced,No,Female,72,65+,Less than high school (Grades 1-8 or no formal schooling),HS Grad or less,Yes,White,Hispanic,"Less than $10,000",Are you NOT registered to vote at your current address,Democrat,NA,1.571428571
323,101910,Landline,62417,English,Arizona,West,3,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Refused,0,Asbestos,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,0,"No, do not",No,NA,1,Not employed,Widowed,No,Male,86,65+,High school incomplete (Grades 9-11 or Grade 12 with NO diploma),HS Grad or less,No,White,White~Hisp,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Other/Don't know/Refused (VOL.),2.80952381
324,101912,Landline,62417,English,New Mexico,West,3,Urban,Rex Tillerson,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,5,"Yes, have cell phone",NA,NA,3,Not employed,Divorced,No,Female,Refused (VOL.),DK/Ref,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Don't know/Refused (VOL.),Other/Don't know/Refused (VOL.),1.904761905
325,101916,Landline,62517,English,Colorado,West,Lowest,Rural,Rex Tillerson,1,Malcolm Turnbull,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Spoiled food,0,Paul Ryan,1,4%,1,8,"Yes, have cell phone",NA,NA,3,Employed full-time,Married,Yes,Male,48,45-54,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,3.619047619
326,101934,Landline,62417,English,Colorado,West,3,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,No,Male,59,55-64,"Some postgraduate or professional schooling, no postgraduate degree",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,2.571428571
327,101941,Landline,62417,English,Mississippi,South,2,Rural,Scott Pruitt,0,Justin Trudeau,0,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,7%,0,7,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,Yes,Female,40,35-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,3.142857143
328,101965,Landline,62417,English,New York,Northeast,2,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,[VOL. DO NOT READ] Refused,0,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,4%,1,8,"No, do not","Yes, someone in household has cell phone",NA,4,Employed full-time,Married,No,Male,78,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,Don't know/Refused (VOL.),Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,3.095238095
329,101969,Landline,62517,English,District of Columbia,South,Highest,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,1,Employed part-time,Never been married,No,Male,69,65+,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$75,000 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Democratic,1
330,101981,Landline,62417,Spanish,California,West,2,Urban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Spoiled food,0,[VOL. DO NOT READ] Don't know,0,4%,1,1,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Male,81,65+,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,Yes,White,Hispanic,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.380952381
331,101983,Landline,62517,English,California,West,2,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,[VOL. DO NOT READ] Don't know,0,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,8,"No, do not",No,NA,1,Not employed,Divorced,No,Male,84,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,Yes,Other (SPECIFY),Hispanic,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.142857143
332,101986,Landline,62417,English,California,West,3,Suburban,[VOL. DO NOT READ] Don't know,0,Malcolm Turnbull,0,[VOL. DO NOT READ] Don't know,0,Robert Mueller,1,Arsenic,0,[VOL. DO NOT READ] Don't know,0,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,7%,0,3,"No, do not","Yes, someone in household has cell phone",NA,2,Not employed,Married,Yes,Female,29,25-34,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,Yes,White,Hispanic,"$40,000 to under $50,000",Are you NOT registered to vote at your current address,Democrat,NA,3.619047619
333,101996,Landline,62417,English,Oregon,West,Lowest,Rural,Mitt Romney,0,Justin Trudeau,0,[VOL. DO NOT READ] Don't know,0,Sally Yates,0,Mold,0,[VOL. DO NOT READ] Don't know,0,Greece,0,Rodents,0,Nancy Pelosi,0,12%,0,0,"Yes, have cell phone",NA,NA,1,Not employed,Widowed,No,Female,85,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"Less than $10,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,1
334,102005,Landline,62417,English,California,West,2,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Female,66,65+,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$150,000 or over",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,1.142857143
335,102006,Landline,62417,English,California,West,2,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,Greece,0,Mosquitoes,1,Paul Ryan,1,4%,1,9,"Yes, have cell phone",NA,NA,3,Employed full-time,Married,No,Male,68,65+,"Some postgraduate or professional schooling, no postgraduate degree",Coll+,No,White,White~Hisp,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Independent,Republican,2.095238095
336,102013,Landline,62517,English,Washington,West,Lowest,Suburban,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Lead,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,Paul Ryan,1,[VOL. DO NOT READ] Don't know,0,3,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,79,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$20,000 to under $30,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,2.619047619
337,102029,Landline,62417,English,California,West,Highest,Suburban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,10,"Yes, have cell phone",NA,NA,2,Employed full-time,Married,Yes,Male,45,45-54,"Four year college or university degree/Bachelor's degree (e.g., BS, BA, AB)",Coll+,No,White,White~Hisp,"$100,000 to under $150,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,3.142857143
338,102076,Landline,62417,English,Pennsylvania,Northeast,2,Rural,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,[VOL. DO NOT READ] Don't know,0,1,"No, do not",No,NA,2,Not employed,Married,No,Male,62,55-64,High school graduate (Grade 12 with diploma or GED certificate),HS Grad or less,No,White,White~Hisp,"$30,000 to under $40,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,6.666666667
339,102078,Landline,62417,English,California,West,4,Urban,Rex Tillerson,1,Emmanuel Macron,1,a Supreme Court justice,1,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Mitch McConnell,0,7%,0,8,"Yes, have cell phone",NA,NA,1,Employed full-time,Divorced,No,Female,63,55-64,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,White,White~Hisp,"$150,000 or over",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,3.095238095
340,102083,Landline,62417,English,Wisconsin,Midwest,Highest,Urban,Rex Tillerson,1,Justin Trudeau,0,the Solicitor General,0,James Comey,0,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,4%,1,7,"Yes, have cell phone",NA,NA,2,Not employed,Married,No,Male,80,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$40,000 to under $50,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Republican,NA,3.428571429
341,102084,Landline,62517,English,Louisiana,South,2,Suburban,Mitt Romney,0,Emmanuel Macron,1,a Senator,0,James Comey,0,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,Paul Ryan,1,12%,0,6,"Yes, have cell phone",NA,NA,3,Employed full-time,Married,Yes,Female,39,35-44,"Postgraduate or professional degree, including master's, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)",Coll+,No,Black or African-American,AA~Hisp,"$75,000 to under $100,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,10.47619048
342,102093,Landline,62417,English,Indiana,Midwest,3,Urban,Rex Tillerson,1,Malcolm Turnbull,0,a Senator,0,Robert Mueller,1,Lead,1,The Freedom Caucus,1,The United Kingdom,1,Mosquitoes,1,[VOL. DO NOT READ] Don't know,0,7%,0,6,"No, do not",No,NA,2,Not employed,Married,No,Female,68,65+,Two year associate degree from a college or university,Some coll/Assoc degree,No,White,White~Hisp,"$50,000 to under $75,000",Are you ABSOLUTELY CERTAIN that you are registered to vote at your current address,Democrat,NA,4.333333333
